0:0:0:0:0:0:0:1 - - [15/Sep/2024:02:53:04 +0200] "GET /parabank/images/bullet-hover.gif HTTP/1.1" 200 91
0:0:0:0:0:0:0:1 - - [15/Sep/2024:02:53:04 +0200] "GET /parabank/images/topbg.gif HTTP/1.1" 200 809
0:0:0:0:0:0:0:1 - - [15/Sep/2024:02:53:04 +0200] "GET /parabank/images/aboutus-normal.gif HTTP/1.1" 200 1261
0:0:0:0:0:0:0:1 - - [15/Sep/2024:02:53:04 +0200] "GET /parabank/images/contact-normal.gif HTTP/1.1" 200 1222
0:0:0:0:0:0:0:1 - - [15/Sep/2024:02:53:04 +0200] "GET /parabank/images/bodybg.gif HTTP/1.1" 200 1081
0:0:0:0:0:0:0:1 - - [15/Sep/2024:02:53:04 +0200] "GET /parabank/images/button-bgr.png HTTP/1.1" 200 949
0:0:0:0:0:0:0:1 - - [15/Sep/2024:02:53:04 +0200] "GET /parabank/images/bullet2-normal.gif HTTP/1.1" 200 68
0:0:0:0:0:0:0:1 - - [15/Sep/2024:02:53:04 +0200] "GET /parabank/images/atmhand.jpg HTTP/1.1" 200 6481
0:0:0:0:0:0:0:1 - - [15/Sep/2024:02:53:04 +0200] "GET /parabank/images/sky-color-bg.gif HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [15/Sep/2024:02:53:04 +0200] "GET /parabank/images/icon2.jpg HTTP/1.1" 200 740
0:0:0:0:0:0:0:1 - - [15/Sep/2024:02:53:04 +0200] "GET /parabank/images/footerbg.gif HTTP/1.1" 200 65
0:0:0:0:0:0:0:1 - - [15/Sep/2024:02:53:04 +0200] "GET /parabank/images/icon4.jpg HTTP/1.1" 200 8715
0:0:0:0:0:0:0:1 - tomcat [15/Sep/2024:17:16:37 +0200] "GET /manager/html HTTP/1.1" 200 18221
0:0:0:0:0:0:0:1 - - [15/Sep/2024:17:16:37 +0200] "GET /manager/images/tomcat.svg HTTP/1.1" 200 67795
0:0:0:0:0:0:0:1 - - [15/Sep/2024:17:16:37 +0200] "GET /manager/images/asf-logo.svg HTTP/1.1" 200 20486
0:0:0:0:0:0:0:1 - - [15/Sep/2024:17:16:45 +0200] "GET /parabank HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Sep/2024:17:16:45 +0200] "GET /parabank/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Sep/2024:17:16:45 +0200] "GET /parabank/index.htm HTTP/1.1" 200 4302
0:0:0:0:0:0:0:1 - - [15/Sep/2024:17:16:45 +0200] "GET /parabank/template.css HTTP/1.1" 200 10120
